county_desc,precinct_abbrv,precinct_desc,reg_total,reg_active,reg_inactive,party_dem,party_rep,party_unaf,party_lib,party_other,race_white,race_black,race_asian,race_aian,eth_hispanic,gender_male,gender_female,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75plus,total_votes_g2024,total_votes_g2020,total_votes_g2018,turnout_rate_g2024,turnout_rate_g2020,turnout_rate_g2018,pop_total,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two_more,pop_hispanic,pop_white_nonhisp,vap_total,vap_white,vap_black,vap_aian,vap_asian,vap_hispanic,vap_white_nonhisp,pop_nonwhite,pct_white,pct_black,pct_hispanic,pct_asian,pct_nonwhite,vap_pct,pop_18_24,est_vap_youth,pop_25_34,pop_35_44,pop_45_54,pop_55_64,pop_65_74,pop_75plus,pct_18_24,pct_65plus,tv_18_24_p2026,tv_25_34_p2026,tv_35_44_p2026,tv_45_54_p2026,tv_55_64_p2026,tv_65_74_p2026,tv_75plus_p2026,tv_total_p2026,tv_18_24_g2025,tv_25_34_g2025,tv_35_44_g2025,tv_45_54_g2025,tv_55_64_g2025,tv_65_74_g2025,tv_75plus_g2025,tv_total_g2025,tv_18_24_g2024,tv_25_34_g2024,tv_35_44_g2024,tv_45_54_g2024,tv_55_64_g2024,tv_65_74_g2024,tv_75plus_g2024,tv_total_g2024,tv_18_24_g2018,tv_25_34_g2018,tv_35_44_g2018,tv_45_54_g2018,tv_55_64_g2018,tv_65_74_g2018,tv_75plus_g2018,tv_total_g2018,v_trump_2024,v_harris_2024,v_stein_gov_2024,v_robinson_gov_2024,two_pty_2024,precinct_rep_pct,precinct_dem_pct,precinct_margin,competitiveness,winner_2024,youth_dem_pct_raw,youth_rep_pct_raw,youth_dem_pct,youth_rep_pct,overall_turnout_2024,youth_turnout_2024,youth_share_2024,youth_turnout_gap,youth_turnout_2018
ALAMANCE,05,FAUCETTE,2743.0,2531,212,353,1361,805,12,0,2369,145,3,3,45,1238,1324,255,363,376,424,505,470,350,2296,2053,1315,0.9072,0.8111,0.5196,3399.0,2960.0,179.0,13.0,9.0,2.0,105.0,131.0,179.0,2926.0,2756.0,2459.0,133.0,12.0,6.0,101.0,2445.0,439.0,0.8708,0.0527,0.0527,0.0026,0.1292,0.8108,358.0922333310077,304.0,476.76026233017296,552.3300333746503,466.60983048613116,644.2792268113935,507.18987906396904,419.05679228149484,0.0821,0.2122,27,58,97,129,199,250,147,907,0,0,1,1,1,3,0,6,190,274,315,393,461,412,251,2296,61,128,204,280,325,223,94,1315,1821.0,460.0,648.0,1497.0,2281.0,0.7983340640070145,0.20166593599298555,0.5966681280140289,safe,Trump,0.20166593599298555,0.7983340640070145,0.4406663743971942,0.5593336256028059,0.9072,0.7451,0.0828,-0.1621,0.2392
ALAMANCE,063,GRAHAM 3,2663.0,2177,486,946,444,780,4,3,927,903,16,14,570,1079,1305,432,505,369,306,405,370,276,1688,1552,906,0.7754,0.7129,0.4162,5026.0,1471.0,1487.0,92.0,69.0,1.0,1517.0,389.0,2105.0,1224.0,3574.0,1196.0,1101.0,69.0,47.0,1256.0,1081.0,3555.0,0.2927,0.2959,0.4188,0.0137,0.7073,0.7111,227.95141692174704,194.0,440.2368548650928,308.20820456406403,463.2678959982739,574.4439832739756,525.8649963439982,212.73735734117668,0.0665,0.2153,23,30,34,55,89,113,86,430,23,30,36,53,78,95,57,372,217,244,213,212,333,287,182,1688,72,101,111,178,216,165,63,906,616.0,1165.0,1242.0,467.0,1781.0,0.3458731049971926,0.6541268950028074,-0.3082537900056148,safe,Harris,0.6541268950028074,0.3458731049971926,0.621650758001123,0.37834924199887704,0.7754,0.5023,0.1286,-0.2731,0.1667
ALAMANCE,064,GRAHAM 4,5126.0,4623,503,1244,1620,1739,20,0,3311,889,89,15,397,2147,2579,512,772,708,700,878,819,737,4045,3625,2441,0.875,0.7841,0.528,6344.0,3987.0,886.0,86.0,142.0,0.0,784.0,459.0,1242.0,3834.0,4952.0,3314.0,695.0,50.0,113.0,769.0,3237.0,2357.0,0.6285,0.1397,0.1958,0.0224,0.3715,0.7806,513.0,436.0,1440.0,447.0,1024.0,927.0000000000001,842.0,888.0000000000001,0.0655,0.2207,37,82,105,150,271,320,321,1286,39,68,122,147,240,262,206,1084,342,513,545,645,763,695,542,4045,130,263,329,488,547,455,229,2441,2230.0,1715.0,2086.0,1634.0,3945.0,0.5652724968314322,0.4347275031685678,0.13054499366286443,lean,Trump,0.4347275031685678,0.5652724968314322,0.5338910012674272,0.4661089987325729,0.875,0.668,0.0845,-0.207,0.2539
ALAMANCE,06E,EAST GRAHAM,2431.0,2025,406,696,562,756,11,0,1327,675,19,10,208,975,1256,237,472,408,302,357,376,279,1686,1559,1007,0.8326,0.7699,0.4973,4030.0,2089.0,1121.0,53.0,43.0,7.0,369.0,348.0,617.0,1995.0,3183.0,1783.0,864.0,35.0,38.0,398.0,1719.0,1941.0,0.5184,0.2782,0.1531,0.0107,0.4816,0.7898,218.96235525064228,186.0,524.2144094897321,605.4506301279375,486.13545770878534,389.4925495723251,265.0469368090981,286.1430077198617,0.068,0.1712,8,36,39,43,98,147,113,484,17,48,67,68,89,128,85,502,142,257,236,243,311,310,187,1686,67,125,130,184,239,179,83,1007,822.0,875.0,989.0,612.0,1697.0,0.48438420742486743,0.5156157925751326,-0.03123158515026514,tossup,Harris,0.5156157925751326,0.48438420742486743,0.566246317030053,0.433753682969947,0.8326,0.5992,0.0842,-0.2334,0.2827
ALAMANCE,06N,NORTH GRAHAM,2512.0,2015,497,872,400,728,15,0,925,923,22,2,383,930,1325,313,496,403,324,397,371,208,1543,1380,801,0.7658,0.6849,0.3975,4895.0,1681.0,1656.0,81.0,38.0,2.0,993.0,444.0,1476.0,1505.0,3587.0,1383.0,1212.0,60.0,33.0,928.0,1278.0,3214.0,0.3434,0.3383,0.3015,0.0078,0.6566,0.7328,166.51162985664257,142.0,480.17258758732254,553.4018075935556,344.1746390747952,729.7339710259444,381.45702337935484,100.49883193994296,0.0467,0.1351,16,38,35,45,79,81,64,358,21,37,54,47,68,87,50,364,164,239,237,201,311,265,126,1543,58,98,105,162,206,120,52,801,565.0,997.0,1042.0,444.0,1562.0,0.3617157490396927,0.6382842509603073,-0.27656850192061455,safe,Harris,0.6382842509603073,0.3617157490396927,0.6153137003841229,0.3846862996158771,0.7658,0.524,0.1063,-0.2418,0.1853
ALAMANCE,06S,SOUTH GRAHAM,3856.0,3373,483,1038,1064,1256,15,0,2249,1030,60,8,199,1547,1978,346,771,652,527,628,506,426,2835,2447,1585,0.8405,0.7255,0.4699,4946.0,3140.0,1157.0,36.0,93.0,1.0,206.0,313.0,450.0,3031.0,3986.0,2631.0,913.0,29.0,72.0,305.0,2554.0,1806.0,0.6349,0.2339,0.091,0.0188,0.3651,0.8059,371.8951091184345,316.0,938.6137773887823,790.6386124883209,686.9951424125337,674.1912533798524,381.85227526499585,540.3985838701211,0.0684,0.1695,18,45,78,105,162,192,158,758,10,39,74,82,107,102,77,491,236,494,437,439,503,426,300,2835,95,213,202,342,339,284,110,1585,1462.0,1278.0,1505.0,1102.0,2740.0,0.5335766423357664,0.4664233576642336,0.06715328467153281,competitive,Trump,0.4664233576642336,0.5335766423357664,0.5465693430656935,0.45343065693430656,0.8405,0.6821,0.0832,-0.1584,0.2746
ALAMANCE,06W,WEST GRAHAM,1164.0,942,222,315,247,376,4,0,559,323,16,2,145,469,580,121,221,188,159,189,165,121,742,688,396,0.7877,0.7304,0.4204,2135.0,902.0,625.0,32.0,27.0,1.0,369.0,179.0,586.0,820.0,1573.0,742.0,439.0,26.0,16.0,371.0,709.0,1233.0,0.4225,0.2927,0.2745,0.0126,0.5775,0.7368,55.38430908481327,47.0,160.32537871706342,59.226831673968015,28.374528036506664,149.5850534763976,69.23592215724429,104.70000472565302,0.0732,0.2297,4,11,18,23,28,44,40,168,3,10,16,22,25,38,27,141,54,121,113,103,151,108,92,742,21,61,58,72,78,67,39,396,358.0,403.0,460.0,260.0,761.0,0.4704336399474376,0.5295663600525624,-0.059132720105124825,competitive,Harris,0.5295663600525624,0.4704336399474376,0.571826544021025,0.42817345597897505,0.7877,0.4463,0.0728,-0.3414,0.1736
ALAMANCE,07,ALBRIGHT,3325.0,3046,279,454,1551,1028,12,1,2828,151,17,6,98,1470,1633,323,450,439,521,653,542,397,2676,2417,1592,0.8785,0.7935,0.5227,4456.0,3753.0,234.0,16.0,20.0,0.0,177.0,256.0,318.0,3675.0,3475.0,3007.0,195.0,11.0,18.0,179.0,2967.0,703.0,0.8422,0.0525,0.0714,0.0045,0.1578,0.7798,178.53977068280523,152.0,411.29486367654766,454.25186715407943,599.9072760442431,866.3780015589352,490.9784337745257,304.13166732243315,0.0422,0.1879,39,61,92,149,232,220,193,986,0,0,1,0,1,0,0,2,232,326,359,469,566,437,287,2676,80,165,234,379,359,267,108,1592,2087.0,627.0,850.0,1726.0,2714.0,0.7689756816507001,0.23102431834929993,0.5379513633014001,safe,Trump,0.23102431834929993,0.7689756816507001,0.45240972733971996,0.54759027266028,0.8785,0.7183,0.0867,-0.1602,0.2477
ALAMANCE,08N,NORTH NEWLIN,3088.0,2792,296,637,1104,1029,22,0,2409,216,19,4,213,1384,1455,322,442,489,461,555,499,320,2420,2209,1414,0.8668,0.7912,0.5064,4235.0,3269.0,278.0,41.0,13.0,1.0,311.0,322.0,591.0,3164.0,3284.0,2605.0,244.0,35.0,12.0,379.0,2545.0,966.0,0.7719,0.0656,0.1396,0.0031,0.2281,0.7754,261.43289203581554,222.0,626.7069300457943,497.67144795576587,505.3515714412481,775.2029889705977,459.90506638776856,239.68439027692637,0.0591,0.1583,16,57,66,88,153,208,129,717,1,0,0,1,0,0,0,2,210,291,386,398,504,407,224,2420,73,170,216,305,356,235,59,1414,1500.0,883.0,1065.0,1237.0,2383.0,0.6294586655476291,0.370541334452371,0.2589173310952581,safe,Trump,0.370541334452371,0.6294586655476291,0.5082165337809483,0.4917834662190516,0.8668,0.6522,0.0868,-0.2146,0.2267
ALAMANCE,08S,SOUTH NEWLIN,1626.0,1445,181,276,676,489,4,0,1335,95,13,3,53,716,792,163,230,233,223,320,287,170,1268,1191,763,0.8775,0.8242,0.528,2101.0,1756.0,100.0,10.0,21.0,0.0,69.0,145.0,121.0,1733.0,1647.0,1410.0,85.0,8.0,18.0,70.0,1401.0,345.0,0.8358,0.0476,0.0576,0.01,0.1642,0.7839,254.27150528352567,216.0,360.2881868518117,181.42319248965794,378.57632694253294,340.4752607809636,271.4788742512069,161.4304515194798,0.1043,0.1776,19,16,33,33,85,127,61,374,0,0,0,0,0,0,0,0,114,153,182,204,273,219,123,1268,43,94,92,153,209,118,53,763,872.0,374.0,473.0,715.0,1246.0,0.6998394863563403,0.3001605136436597,0.3996789727126806,safe,Trump,0.3001605136436597,0.6998394863563403,0.48006420545746387,0.5199357945425361,0.8775,0.6994,0.0899,-0.1781,0.2638
ALAMANCE,09N,NORTH THOMPSON,2714.0,2401,313,751,765,875,9,1,1733,579,55,3,130,1139,1348,223,402,438,404,479,425,343,2126,1921,1259,0.8855,0.8001,0.5244,3329.0,2220.0,627.0,34.0,86.0,2.0,146.0,214.0,299.0,2159.0,2596.0,1775.0,504.0,21.0,60.0,184.0,1741.0,1109.0,0.6669,0.1883,0.0898,0.0258,0.3331,0.7798,147.4265704928157,125.0,214.7869158332067,321.22161008986103,315.3051135505841,422.56162373233786,296.24498943704793,187.53470354206777,0.064,0.2101,18,42,59,84,135,186,154,678,6,13,35,38,71,60,51,274,180,263,337,357,415,326,248,2126,70,159,187,257,288,219,79,1259,1099.0,984.0,1132.0,846.0,2083.0,0.527604416706673,0.4723955832933269,0.05520883341334609,competitive,Trump,0.4723955832933269,0.527604416706673,0.5489582333173307,0.4510417666826692,0.8855,0.8072,0.0847,-0.0783,0.3139
ALAMANCE,09S,SOUTH THOMPSON,5134.0,4592,542,1190,1653,1720,28,1,3734,570,84,13,329,2267,2442,503,730,838,787,943,827,506,3983,3584,2251,0.8674,0.7805,0.4902,6676.0,4836.0,613.0,82.0,117.0,2.0,513.0,513.0,921.0,4701.0,5208.0,3910.0,502.0,56.0,89.0,570.0,3833.0,1840.0,0.7244,0.0918,0.138,0.0175,0.2756,0.7801,585.2063833769347,497.0,749.3148425350403,1070.7899399058012,969.355496844256,892.2759366774893,772.9277598412577,337.1710180150894,0.0811,0.1538,41,73,138,151,247,326,176,1152,0,0,1,0,1,1,0,3,337,479,664,653,842,683,325,3983,93,261,351,508,586,352,100,2251,2334.0,1616.0,1888.0,1897.0,3950.0,0.590886075949367,0.4091139240506329,0.18177215189873414,lean,Trump,0.4091139240506329,0.590886075949367,0.5236455696202532,0.47635443037974684,0.8674,0.67,0.0846,-0.1974,0.1849
ALAMANCE,103,MELVILLE 3,4892.0,4484,408,1252,1407,1798,25,2,3044,957,91,13,360,2027,2406,499,816,876,783,788,671,459,3684,3079,1995,0.8216,0.6867,0.4449,4617.0,3099.0,534.0,52.0,52.0,1.0,539.0,340.0,798.0,3036.0,3556.0,2547.0,398.0,36.0,46.0,469.0,2505.0,1518.0,0.6712,0.1157,0.1728,0.0113,0.3288,0.7702,430.92114874818395,366.0,830.0360588803234,717.5007680199351,701.4822884721858,1053.6248947249142,576.214423472108,276.37460697317414,0.0764,0.1511,33,78,129,165,215,234,133,987,7,37,40,46,41,35,13,219,308,579,653,662,648,502,332,3684,123,259,356,441,435,271,110,1995,1827.0,1548.0,1811.0,1371.0,3375.0,0.5413333333333333,0.45866666666666667,0.08266666666666667,competitive,Trump,0.45866666666666667,0.5413333333333333,0.5434666666666667,0.45653333333333335,0.8216,0.6172,0.0836,-0.2044,0.2465
ALAMANCE,104,MELVILLE 4,2298.0,1954,344,722,423,803,6,0,1284,598,48,9,105,908,1165,212,404,435,373,385,277,212,1687,1563,1022,0.8634,0.7999,0.523,3408.0,1825.0,912.0,26.0,158.0,9.0,131.0,347.0,324.0,1773.0,2542.0,1451.0,662.0,24.0,118.0,203.0,1410.0,1583.0,0.5355,0.2676,0.0951,0.0464,0.4645,0.7459,168.86248640603574,144.0,564.5495512594885,246.421079625828,375.3676259667373,437.35769904742136,234.64811267831922,102.05824174715319,0.0613,0.1223,17,38,73,52,116,95,83,474,5,17,33,25,47,56,39,222,133,251,335,288,322,206,152,1687,61,171,209,194,195,136,56,1022,625.0,1079.0,1188.0,442.0,1704.0,0.36678403755868544,0.6332159624413145,-0.26643192488262907,safe,Harris,0.6332159624413145,0.36678403755868544,0.6132863849765258,0.3867136150234742,0.8634,0.6274,0.0788,-0.236,0.2877
ALAMANCE,10N,NORTH MELVILLE,3658.0,3322,336,866,1154,1285,15,2,2674,494,29,7,128,1517,1818,330,551,493,518,701,557,508,2936,2667,1861,0.8838,0.8028,0.5602,4828.0,3505.0,680.0,28.0,59.0,1.0,194.0,361.0,395.0,3469.0,3779.0,2855.0,527.0,21.0,45.0,242.0,2834.0,1323.0,0.726,0.1408,0.0818,0.0122,0.274,0.7827,169.45204289711475,144.0,685.7728213023498,391.3399450526273,599.2959665247726,561.6151235917142,691.117341251645,354.9246361815234,0.041,0.2531,31,50,74,113,189,221,203,881,12,14,20,50,67,68,53,284,256,344,388,500,628,444,376,2936,99,185,275,402,435,336,129,1861,1664.0,1259.0,1473.0,1275.0,2923.0,0.5692781388983921,0.43072186110160793,0.13855627779678414,lean,Trump,0.43072186110160793,0.5692781388983921,0.5322887444406432,0.46771125555935683,0.8838,0.7758,0.0872,-0.108,0.3
ALAMANCE,10S1,SOUTH MELVILLE,6381.0,5441,940,1918,1345,2147,27,4,3620,1747,84,13,304,2518,3275,679,1178,1123,1006,1008,760,627,4662,4098,2706,0.8568,0.7532,0.4973,9013.0,5225.0,2458.0,42.0,209.0,2.0,384.0,693.0,758.0,5107.0,6835.0,4180.0,1805.0,27.0,155.0,480.0,4108.0,3788.0,0.5797,0.2727,0.0841,0.0232,0.4203,0.7583,936.1841304782786,796.0,1581.3308484717793,1938.7519746803282,1332.851579604521,750.1861557742748,1008.4016518687984,406.61432450057583,0.0919,0.139,46,101,138,194,275,291,246,1291,17,35,87,98,117,138,112,604,456,721,818,841,784,598,444,4662,198,375,504,599,489,383,158,2706,2048.0,2642.0,2986.0,1474.0,4690.0,0.4366737739872068,0.5633262260127931,-0.12665245202558634,lean,Harris,0.5633262260127931,0.4366737739872068,0.5853304904051173,0.4146695095948827,0.8568,0.6716,0.0978,-0.1852,0.2916
