GEOID,NAME,STATE,COUNTY,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,C_TOT24,CTOTMOE,C_NHS24,CNHSMOE,C_AMI24,CAMIMOE,C_ASI24,CASIMOE,C_BLA24,CBLAMOE,C_NHP24,CNHPMOE,C_WHT24,CWHTMOE,C_AIW24,CAIWMOE,C_ASW24,CASWMOE,C_BLW24,CBLWMOE,C_AIB24,CAIBMOE,C_2OM24,C2OMMOE,C_HSP24,CHSPMOE,C_AIA24,CAIAMOE,C_ASN24,CASNMOE,C_BLK24,CBLKMOE,CVAP_TOT24,CVAPTOTMOE,CVAP_NHS24,CVAPNHSMOE,CVAP_AMI24,CVAPAMIMOE,CVAP_ASI24,CVAPASIMOE,CVAP_BLA24,CVAPBLAMOE,CVAP_NHP24,CVAPNHPMOE,CVAP_WHT24,CVAPWHTMOE,CVAP_AIW24,CVAPAIWMOE,CVAP_ASW24,CVAPASWMOE,CVAP_BLW24,CVAPBLWMOE,CVAP_AIB24,CVAPAIBMOE,CVAP_2OM24,CVAP2OMMOE,CVAP_HSP24,CVAPHSPMOE,CVAP_AIA24,CVAPAIAMOE,CVAP_ASN24,CVAPASNMOE,CVAP_BLK24,CVAPBLKMOE
370010203013,"Block Group 3, Census Tract 203.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020301,3,1172,465,1041,432,0,14,0,14,504,259,0,14,532,377,5,11,0,14,0,14,0,14,0,14,131,216,5,22.65,0,19.8,504,259.76,1044,431,977,426,0,14,0,14,447,253,0,14,523,374,7,11,0,14,0,14,0,14,0,14,67,107,7,22.65,0,19.8,447,253.77
370010203021,"Block Group 1, Census Tract 203.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020302,1,975,274,505,153,69,86,0,14,70,80,0,14,330,143,0,14,0,14,24,43,12,16,0,14,470,248,81,88.59,0,19.8,106,92.22,664,161,471,135,72,86,0,14,57,71,0,14,329,143,0,14,0,14,0,14,13,16,0,14,193,104,85,88.59,0,19.8,70,74.11
370010203022,"Block Group 2, Census Tract 203.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020302,2,1405,467,892,419,0,14,0,14,213,149,0,14,593,284,0,14,11,24,75,115,0,14,0,14,513,250,0,24.25,11,27.78,288,188.74,897,270,667,233,0,14,0,14,161,113,0,14,496,203,0,14,10,24,0,14,0,14,0,14,230,141,0,24.25,10,27.78,161,114.72
370010204001,"Block Group 1, Census Tract 204, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000204,1,2016,536,1556,422,0,14,0,14,388,277,0,14,1145,374,0,14,23,39,0,14,0,14,0,14,460,286,0,24.25,23,41.44,388,277.71,1338,356,1143,303,0,14,0,14,303,210,0,14,836,294,0,14,4,8,0,14,0,14,0,14,195,132,0,24.25,4,16.12,303,210.93
370010204002,"Block Group 2, Census Tract 204, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000204,2,1990,712,1577,670,0,14,0,14,1197,543,0,14,251,222,0,14,0,14,129,196,0,14,0,14,413,301,0,24.25,0,19.8,1326,577.46,855,317,700,291,0,14,0,14,540,249,0,14,160,124,0,14,0,14,0,14,0,14,0,14,155,129,0,24.25,0,19.8,540,249.79
370010204003,"Block Group 3, Census Tract 204, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000204,3,532,474,456,457,0,14,0,14,258,231,0,14,95,99,0,14,0,14,103,157,0,14,0,14,76,125,0,24.25,0,19.8,361,279.65,354,315,354,315,0,14,0,14,259,231,0,14,95,99,0,14,0,14,0,14,0,14,0,14,0,14,0,24.25,0,19.8,259,231.85
370010204004,"Block Group 4, Census Tract 204, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000204,4,832,390,763,376,0,14,0,14,673,384,0,14,90,110,0,14,0,14,0,14,0,14,0,14,69,109,0,24.25,0,19.8,673,384.51,715,331,647,310,0,14,0,14,553,317,0,14,94,110,0,14,0,14,0,14,0,14,0,14,68,109,0,24.25,0,19.8,553,317.62
370010204005,"Block Group 5, Census Tract 204, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000204,5,869,444,869,444,0,14,0,14,735,352,0,14,0,14,0,14,0,14,0,14,121,184,13,22,0,14,121,185.06,0,19.8,856,397.44,784,370,784,370,0,14,0,14,737,352,0,14,0,14,0,14,0,14,0,14,32,49,15,22,0,14,32,52.85,0,19.8,769,355.67
370010205011,"Block Group 1, Census Tract 205.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020501,1,2702,629,2272,528,0,14,0,14,354,208,22,33,1726,439,14,17,0,14,156,154,0,14,0,14,430,297,14,26.1,0,19.8,510,259.18,2131,434,1835,372,0,14,0,14,278,130,27,33,1513,364,17,17,0,14,0,14,0,14,0,14,296,202,17,26.1,0,19.8,278,131.5
370010205012,"Block Group 2, Census Tract 205.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020501,2,935,249,720,226,0,14,12,20,129,93,0,14,579,192,0,14,0,14,0,14,0,14,0,14,215,180,0,24.25,12,24.41,129,95.08,654,179,594,180,0,14,12,20,112,78,0,14,470,149,0,14,0,14,0,14,0,14,0,14,60,63,0,24.25,12,24.41,112,80.47
370010205021,"Block Group 1, Census Tract 205.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020502,1,2632,535,1807,556,0,14,0,14,1298,505,0,14,466,244,0,14,0,14,0,14,0,14,43,52,825,320,0,24.25,0,19.8,1298,505.39,1559,321,1250,329,0,14,0,14,855,299,0,14,351,161,0,14,0,14,0,14,0,14,44,52,309,140,0,24.25,0,19.8,855,299.65
370010205022,"Block Group 2, Census Tract 205.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020502,2,610,281,440,203,0,14,0,14,405,204,0,14,24,51,0,14,0,14,0,14,0,14,11,18,170,198,0,24.25,0,19.8,405,204.96,465,173,396,168,0,14,0,14,359,167,0,14,26,51,0,14,0,14,0,14,0,14,11,18,69,67,0,24.25,0,19.8,359,168.17
370010205023,"Block Group 3, Census Tract 205.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020502,3,735,446,556,372,0,14,0,14,375,367,0,14,181,126,0,14,0,14,0,14,0,14,0,14,179,173,0,24.25,0,19.8,375,367.53,675,413,549,372,0,14,0,14,371,367,0,14,178,126,0,14,0,14,0,14,0,14,0,14,126,117,0,24.25,0,19.8,371,367.53
370010206011,"Block Group 1, Census Tract 206.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020601,1,977,336,963,337,0,14,99,108,0,14,0,14,864,313,0,14,0,14,0,14,0,14,0,14,14,20,0,24.25,99,108.9,0,24.25,811,286,797,288,0,14,45,55,0,14,0,14,752,281,0,14,0,14,0,14,0,14,0,14,14,20,0,24.25,45,56.75,0,24.25
370010206012,"Block Group 2, Census Tract 206.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020601,2,1129,317,1114,320,0,14,0,14,7,10,0,14,1098,320,9,18,0,14,0,14,0,14,0,14,15,26,9,26.76,0,19.8,7,22.18,782,175,773,176,0,14,0,14,9,10,0,14,755,178,9,18,0,14,0,14,0,14,0,14,9,11,9,26.76,0,19.8,9,22.18
370010206013,"Block Group 3, Census Tract 206.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020601,3,1155,301,1155,301,0,14,0,14,36,34,0,14,1092,294,0,14,0,14,0,14,27,40,0,14,0,14,27,44.63,0,19.8,63,54.33,945,232,945,232,0,14,0,14,27,29,0,14,891,229,0,14,0,14,0,14,27,40,0,14,0,14,27,44.63,0,19.8,54,51.35
370010206021,"Block Group 1, Census Tract 206.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020602,1,568,204,444,127,0,14,0,14,47,57,0,14,385,116,0,14,0,14,0,14,0,14,12,23,124,195,0,24.25,0,19.8,47,60.34,458,130,419,122,0,14,0,14,30,28,0,14,373,117,0,14,0,14,0,14,0,14,16,23,39,62,0,24.25,0,19.8,30,34.29
370010206022,"Block Group 2, Census Tract 206.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020602,2,1860,384,1747,368,0,14,20,39,114,116,0,14,1580,372,0,14,0,14,33,63,0,14,0,14,113,98,0,24.25,20,41.44,147,132.74,1533,279,1458,261,0,14,17,39,98,93,0,14,1331,266,0,14,0,14,12,20,0,14,0,14,75,89,0,24.25,17,41.44,110,96.15
370010207011,"Block Group 1, Census Tract 207.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020701,1,861,304,774,275,0,14,0,14,165,116,0,14,609,267,0,14,0,14,0,14,0,14,0,14,87,151,0,24.25,0,19.8,165,117.68,862,304,774,275,0,14,0,14,167,116,0,14,607,267,0,14,0,14,0,14,0,14,0,14,88,151,0,24.25,0,19.8,167,117.68
370010207012,"Block Group 2, Census Tract 207.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020701,2,1334,327,1334,327,15,16,37,49,41,73,0,14,1222,340,0,14,0,14,0,14,0,14,19,39,0,14,15,25.46,37,50.96,41,75.64,1218,312,1218,312,13,16,0,14,40,71,0,14,1141,315,0,14,0,14,0,14,0,14,24,39,0,14,13,25.46,0,19.8,40,73.71
370010207013,"Block Group 3, Census Tract 207.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020701,3,798,265,572,316,0,14,0,14,32,50,0,14,436,253,0,14,0,14,104,162,0,14,0,14,226,180,0,24.25,0,19.8,136,170.12,482,217,427,220,0,14,0,14,33,50,0,14,394,209,0,14,0,14,0,14,0,14,0,14,55,47,0,24.25,0,19.8,33,53.78
370010207014,"Block Group 4, Census Tract 207.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020701,4,1912,485,1912,485,0,14,287,349,304,165,0,14,1316,451,5,9,0,14,0,14,0,14,0,14,0,14,5,21.75,287,349.28,304,166.18,1621,414,1621,414,0,14,213,262,303,165,0,14,1105,413,0,14,0,14,0,14,0,14,0,14,0,14,0,24.25,213,262.37,303,166.18
370010207021,"Block Group 1, Census Tract 207.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020702,1,1938,521,1858,545,0,14,0,14,1174,407,0,14,684,365,0,14,0,14,0,14,0,14,0,14,80,100,0,24.25,0,19.8,1174,407.48,1279,431,1269,430,0,14,0,14,679,291,0,14,590,322,0,14,0,14,0,14,0,14,0,14,10,27,0,24.25,0,19.8,679,291.67
370010207022,"Block Group 2, Census Tract 207.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020702,2,945,360,779,310,0,14,79,116,226,206,0,14,436,195,0,14,0,14,38,67,0,14,0,14,166,166,0,24.25,79,116.84,264,217.07,767,284,694,266,0,14,80,116,178,161,0,14,436,195,0,14,0,14,0,14,0,14,0,14,73,85,0,24.25,80,116.84,178,162.21
370010207023,"Block Group 3, Census Tract 207.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020702,3,1539,547,1369,538,0,14,0,14,571,370,0,14,654,379,0,14,13,26,0,14,51,79,80,115,170,141,51,81.44,13,29.53,622,378.6,1238,420,1072,405,0,14,0,14,448,280,0,14,481,275,0,14,14,26,0,14,51,79,78,115,166,140,51,81.44,14,29.53,499,291.27
370010207024,"Block Group 4, Census Tract 207.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020702,4,1115,429,964,448,0,14,134,160,333,298,0,14,497,308,0,14,0,14,0,14,0,14,0,14,151,163,0,24.25,134,160.61,333,298.66,830,291,729,316,0,14,135,160,194,156,0,14,400,222,0,14,0,14,0,14,0,14,0,14,101,105,0,24.25,135,160.61,194,157.25
370010208011,"Block Group 1, Census Tract 208.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020801,1,1828,303,1538,314,0,14,20,26,491,234,0,14,937,242,13,22,0,14,73,58,0,14,4,3,290,155,13,29.6,20,29.53,564,241.49,1244,209,1133,215,0,14,17,26,312,159,0,14,792,181,12,22,0,14,0,14,0,14,0,14,111,75,12,29.6,17,29.53,312,160.23
370010208021,"Block Group 1, Census Tract 208.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020802,1,442,259,181,153,0,14,0,14,125,119,0,14,56,57,0,14,0,14,0,14,0,14,0,14,261,190,0,24.25,0,19.8,125,120.64,392,258,185,153,0,14,0,14,129,119,0,14,56,57,0,14,0,14,0,14,0,14,0,14,207,185,0,24.25,0,19.8,129,120.64
370010208022,"Block Group 2, Census Tract 208.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020802,2,1184,541,855,450,0,14,0,14,550,367,0,14,279,212,0,14,0,14,26,48,0,14,0,14,329,245,0,24.25,0,19.8,576,370.39,1126,479,796,381,0,14,0,14,488,296,0,14,280,212,0,14,0,14,28,48,0,14,0,14,330,245,0,24.25,0,19.8,516,300.19
370010208023,"Block Group 3, Census Tract 208.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020802,3,1186,563,1016,537,0,14,9,27,479,441,0,14,513,246,0,14,0,14,0,14,0,14,15,27,170,134,0,24.25,9,30.41,479,441.44,1042,543,896,515,0,14,13,27,475,441,0,14,408,182,0,14,0,14,0,14,0,14,0,14,146,120,0,24.25,13,30.41,475,441.44
370010208024,"Block Group 4, Census Tract 208.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020802,4,1253,651,950,496,0,14,0,14,910,492,0,14,40,64,0,14,0,14,0,14,0,14,0,14,303,410,0,24.25,0,19.8,910,492.4,648,358,450,271,0,14,0,14,408,265,0,14,42,64,0,14,0,14,0,14,0,14,0,14,198,254,0,24.25,0,19.8,408,265.74
370010208025,"Block Group 5, Census Tract 208.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020802,5,615,450,321,307,0,14,0,14,166,265,0,14,155,169,0,14,0,14,0,14,0,14,0,14,294,348,0,24.25,0,19.8,166,265.74,276,214,239,212,0,14,0,14,83,137,0,14,156,169,0,14,0,14,0,14,0,14,0,14,37,46,0,24.25,0,19.8,83,138.42
370010208026,"Block Group 6, Census Tract 208.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020802,6,606,289,554,266,0,14,0,14,150,142,0,14,393,222,11,18,0,14,0,14,0,14,0,14,52,98,11,26.76,0,19.8,150,143.37,583,268,526,243,0,14,0,14,126,110,0,14,394,222,6,12,0,14,0,14,0,14,0,14,57,98,6,23.15,0,19.8,126,111.77
370010209011,"Block Group 1, Census Tract 209.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020901,1,1107,337,887,245,0,14,0,14,133,136,0,14,723,224,31,27,0,14,0,14,0,14,0,14,220,182,31,33.48,0,19.8,133,137.43,991,266,852,221,0,14,0,14,113,86,0,14,722,224,17,24,0,14,0,14,0,14,0,14,139,112,17,31.11,0,19.8,113,88.25
370010209012,"Block Group 2, Census Tract 209.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020901,2,1264,441,1114,406,0,14,0,14,391,275,0,14,698,258,13,18,0,14,12,16,0,14,0,14,150,165,13,26.76,0,19.8,403,275.82,960,293,865,279,0,14,0,14,311,195,0,14,536,176,10,18,0,14,8,16,0,14,0,14,95,102,10,26.76,0,19.8,319,196.16
370010209013,"Block Group 3, Census Tract 209.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020901,3,1755,436,1529,436,0,14,0,14,521,203,0,14,1008,379,0,14,0,14,0,14,0,14,0,14,226,107,0,24.25,0,19.8,521,203.96,1317,377,1209,370,0,14,4,8,381,154,0,14,824,328,0,14,0,14,0,14,0,14,0,14,108,63,0,24.25,4,16.12,381,155.27
370010209021,"Block Group 1, Census Tract 209.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020902,1,3173,521,2836,499,0,14,49,73,351,142,0,14,2429,503,7,8,0,14,0,14,0,14,0,14,337,251,7,21.35,49,74.33,351,143.37,2360,368,2156,351,0,14,52,73,337,149,0,14,1762,336,5,8,0,14,0,14,0,14,0,14,204,141,5,21.35,52,74.33,337,150.31
370010209022,"Block Group 2, Census Tract 209.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020902,2,1563,391,1449,323,0,14,0,14,157,139,0,14,1168,313,40,44,16,27,68,119,0,14,0,14,114,146,40,48.25,16,30.41,225,183.52,1353,316,1271,281,0,14,0,14,158,139,0,14,1058,271,39,41,0,14,16,32,0,14,0,14,82,83,39,45.53,0,19.8,174,143.32
370010210001,"Block Group 1, Census Tract 210, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000210,1,998,374,855,338,14,25,0,14,290,302,0,14,527,210,5,8,0,14,0,14,0,14,19,28,143,176,19,29.75,0,19.8,290,302.65,783,264,674,207,15,25,0,14,155,124,0,14,484,190,5,8,0,14,0,14,0,14,15,28,109,166,20,29.75,0,19.8,155,125.57
370010210002,"Block Group 2, Census Tract 210, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000210,2,1946,385,1644,337,0,14,48,69,826,341,0,14,764,231,6,9,0,14,0,14,0,14,0,14,302,230,6,21.75,48,70.41,826,341.57,1391,320,1258,284,0,14,48,69,539,260,0,14,671,212,0,14,0,14,0,14,0,14,0,14,133,146,0,24.25,48,70.41,539,260.75
370010210003,"Block Group 3, Census Tract 210, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000210,3,578,244,556,244,0,14,0,14,394,220,0,14,162,105,0,14,0,14,0,14,0,14,0,14,22,35,0,24.25,0,19.8,394,220.89,519,194,496,195,0,14,0,14,353,189,0,14,139,79,0,14,0,14,0,14,0,14,4,8,23,35,0,24.25,0,19.8,353,190.03
370010211011,"Block Group 1, Census Tract 211.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021101,1,983,538,553,301,0,14,0,14,38,39,0,14,299,155,0,14,216,196,0,14,0,14,0,14,430,513,0,24.25,216,196.5,38,43.74,585,282,393,196,0,14,0,14,30,29,0,14,299,155,0,14,64,71,0,14,0,14,0,14,192,228,0,24.25,64,72.37,30,35.11
370010211012,"Block Group 2, Census Tract 211.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021101,2,2686,576,2538,581,19,23,32,35,775,301,0,14,1687,559,25,27,0,14,0,14,0,14,0,14,148,121,44,38.13,32,37.7,775,301.65,2297,442,2177,453,18,23,28,35,644,247,0,14,1462,456,25,27,0,14,0,14,0,14,0,14,120,110,43,38.13,28,37.7,644,247.79
370010211013,"Block Group 3, Census Tract 211.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021101,3,539,287,524,291,0,14,0,14,194,261,0,14,330,177,0,14,0,14,0,14,0,14,0,14,15,34,0,24.25,0,19.8,194,261.75,535,287,522,291,0,14,0,14,192,261,0,14,330,177,0,14,0,14,0,14,0,14,0,14,13,34,0,24.25,0,19.8,192,261.75
370010211021,"Block Group 1, Census Tract 211.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021102,1,942,389,780,364,0,14,0,14,237,190,0,14,531,301,0,14,0,14,12,17,0,14,0,14,162,148,0,24.25,0,19.8,249,191.27,695,273,614,259,0,14,0,14,140,80,0,14,474,244,0,14,0,14,0,14,0,14,0,14,81,80,0,24.25,0,19.8,140,82.41
370010211022,"Block Group 2, Census Tract 211.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021102,2,1110,373,1021,377,0,14,0,14,333,251,0,14,637,242,0,14,0,14,8,12,43,55,0,14,89,96,43,58.46,0,19.8,384,257.24,910,302,855,305,0,14,0,14,275,194,0,14,524,192,0,14,0,14,10,12,46,55,0,14,55,47,46,58.46,0,19.8,331,202.0
370010211023,"Block Group 3, Census Tract 211.02, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021102,3,1594,438,1487,398,0,14,5,9,110,101,0,14,1147,410,0,14,0,14,225,220,0,14,0,14,107,122,0,24.25,5,16.64,335,242.48,1234,392,1124,344,0,14,0,14,111,101,0,14,940,330,0,14,4,8,69,107,0,14,0,14,110,122,0,24.25,4,16.12,180,147.8
370010212011,"Block Group 1, Census Tract 212.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021201,1,3037,415,2128,282,0,14,12,18,1223,266,0,14,736,207,0,14,0,14,112,87,36,39,9,19,909,314,36,43.74,12,22.8,1371,282.57,1869,280,1593,233,0,14,9,18,873,198,0,14,652,176,0,14,0,14,38,40,21,35,0,14,276,168,21,40.21,9,22.8,932,205.01
370010212012,"Block Group 2, Census Tract 212.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021201,2,2107,479,1928,473,0,14,27,32,413,252,0,14,1460,405,0,14,0,14,28,31,0,14,0,14,179,110,0,24.25,27,34.93,441,254.29,1616,338,1562,344,0,14,24,32,344,208,0,14,1171,291,0,14,0,14,23,28,0,14,0,14,54,42,0,24.25,24,34.93,367,210.34
370010212013,"Block Group 3, Census Tract 212.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021201,3,400,158,350,136,0,14,0,14,0,14,0,14,350,136,0,14,0,14,0,14,0,14,0,14,50,72,0,24.25,0,19.8,0,24.25,304,112,285,106,0,14,0,14,0,14,0,14,285,106,0,14,0,14,0,14,0,14,0,14,19,24,0,24.25,0,19.8,0,24.25
370010212041,"Block Group 1, Census Tract 212.04, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021204,1,911,415,754,372,0,14,0,14,319,292,0,14,435,241,0,14,0,14,0,14,0,14,0,14,157,153,0,24.25,0,19.8,319,292.67,558,235,473,193,0,14,0,14,120,101,0,14,353,175,0,14,0,14,0,14,0,14,0,14,85,87,0,24.25,0,19.8,120,102.92
370010212042,"Block Group 2, Census Tract 212.04, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021204,2,4532,588,4153,589,0,14,108,96,782,368,0,14,3012,427,20,25,79,89,132,201,20,32,0,14,379,171,40,42.95,187,130.91,934,420.53,3750,490,3593,490,0,14,52,59,683,301,0,14,2675,391,17,25,62,81,83,123,21,32,0,14,157,76,38,42.95,114,100.21,787,326.73
370010212051,"Block Group 1, Census Tract 212.05, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021205,1,821,237,821,237,0,14,0,14,80,86,0,14,729,228,12,18,0,14,0,14,0,14,0,14,0,14,12,26.76,0,19.8,80,88.25,772,210,772,210,0,14,0,14,76,86,0,14,696,201,0,14,0,14,0,14,0,14,0,14,0,14,0,24.25,0,19.8,76,88.25
370010212052,"Block Group 2, Census Tract 212.05, Alamance County, North Carolina",North Carolina,Alamance County,37,001,021205,2,2001,504,1818,481,0,14,6,8,568,295,0,14,1145,394,0,14,99,138,0,14,0,14,0,14,183,91,0,24.25,105,138.23,568,295.66,1555,413,1471,399,0,14,4,8,543,281,0,14,888,318,0,14,36,65,0,14,0,14,0,14,84,79,0,24.25,40,65.49,543,281.7
